id,numByuers,numGoods,iteration,algo,maxIteration,sumR,sumX,sumRX
-1,2,2,0,centralistic,1000,847.071206569325,2.0,444.5137719505256
-1,2,2,1,centralistic,1000,847.071206569325,1.9998906548054962,457.43143349420797
-1,2,2,2,centralistic,1000,847.071206569325,1.9998698603483869,465.20732752661985
-1,2,2,3,centralistic,1000,847.071206569325,1.9995880222944171,469.95671135749086
-1,2,2,4,centralistic,1000,847.071206569325,1.999507933691187,472.9548492721057
-1,2,2,5,centralistic,1000,847.071206569325,1.999571900593663,474.95121456810836
-1,2,2,6,centralistic,1000,847.071206569325,1.9990067204959905,476.2637741093702
-1,2,2,7,centralistic,1000,847.071206569325,1.9994294238370898,477.3528573671743
-1,2,2,8,centralistic,1000,847.071206569325,1.9993603080182112,478.0113028619781
-1,2,2,9,centralistic,1000,847.071206569325,1.9994785983755339,478.61256531248387
-1,2,2,10,centralistic,1000,847.071206569325,1.9995269818833168,479.04061101209766
-1,2,2,11,centralistic,1000,847.071206569325,1.9994644910944501,479.3514490527781
-1,2,2,12,centralistic,1000,847.071206569325,1.99957757088768,479.6592891314978
-1,2,2,13,centralistic,1000,847.071206569325,1.9996635173735706,479.8910068411967
-1,2,2,14,centralistic,1000,847.071206569325,1.9996625295798163,480.0545550986546
-1,2,2,15,centralistic,1000,847.071206569325,1.9993431347641348,480.1690844568033
-1,2,2,16,centralistic,1000,847.071206569325,1.9995027492265032,480.3400031497603
-1,2,2,17,centralistic,1000,847.071206569325,1.999677846237684,480.4665813078685
-1,2,2,18,centralistic,1000,847.071206569325,1.9994934238527244,480.5162133536024
-1,2,2,19,centralistic,1000,847.071206569325,1.9995017282938243,480.64794941084455
-1,2,2,20,centralistic,1000,847.071206569325,1.999677846237684,480.7702078831953
-1,2,2,21,centralistic,1000,847.071206569325,1.9995847591283846,480.82574616596526
-1,2,2,22,centralistic,1000,847.071206569325,1.9994905466953938,480.8693510383986
-1,2,2,23,centralistic,1000,847.071206569325,1.9995847591283846,480.9551645750922
-1,2,2,24,centralistic,1000,847.071206569325,1.9995847591283846,481.00632035050876
