Id,Byuers,Goods,Iteration,Algorithm,Max Iteration,Sum RX,Envy Free
0,6,9,0.0,centralistic,1000000,2522.4170229575748,1.0
0,6,9,1.0,centralistic,1000000,2683.0151028146665,1.0
0,6,9,2.0,centralistic,1000000,2791.314089155727,1.0
0,6,9,3.0,centralistic,1000000,2864.728338697695,1.0
0,6,9,4.0,centralistic,1000000,2915.5196868847074,1.0
0,6,9,5.0,centralistic,1000000,2951.7126052946473,1.0
0,6,9,6.0,centralistic,1000000,2978.363116072926,1.0
0,6,9,7.0,centralistic,1000000,2998.6009509330042,1.0
0,6,9,8.0,centralistic,1000000,3014.367798318456,1.0
0,6,9,9.0,centralistic,1000000,3026.8946374818106,1.0
0,6,9,10.0,centralistic,1000000,3036.9919564892957,1.0
0,6,9,11.0,centralistic,1000000,3045.2193244675645,1.0
0,6,9,12.0,centralistic,1000000,3051.9820387815603,1.0
0,6,9,13.0,centralistic,1000000,3057.585594845812,1.0
0,6,9,14.0,centralistic,1000000,3062.266618673863,1.0
0,6,9,15.0,centralistic,1000000,3066.2110854408365,1.0
0,6,9,16.0,centralistic,1000000,3069.565857758325,1.0
0,6,9,17.0,centralistic,1000000,3072.4467450649277,1.0
0,6,9,18.0,centralistic,1000000,3074.944672997968,1.0
0,6,9,19.0,centralistic,1000000,3077.130690824404,1.0
0,6,9,20.0,centralistic,1000000,3079.060123155189,1.0
0,6,9,21.0,centralistic,1000000,3080.7760019471393,1.0
0,6,9,22.0,centralistic,1000000,3082.311858765916,1.0
0,6,9,23.0,centralistic,1000000,3083.6939532183806,1.0
0,6,9,24.0,centralistic,1000000,3084.943017968085,1.0
0,6,9,25.0,centralistic,1000000,3086.0756029922854,1.0
0,6,9,26.0,centralistic,1000000,3087.1050971571945,1.0
0,6,9,27.0,centralistic,1000000,3088.042497139322,1.0
0,6,9,28.0,centralistic,1000000,3088.8969816903045,1.0
0,6,9,29.0,centralistic,1000000,3089.6763386013245,1.0
0,6,9,30.0,centralistic,1000000,3090.3872812107725,1.0
0,6,9,31.0,centralistic,1000000,3091.0356828904632,1.0
0,6,9,32.0,centralistic,1000000,3091.626750536984,1.0
0,6,9,33.0,centralistic,1000000,3092.1651533485233,1.0
0,6,9,34.0,centralistic,1000000,3092.655118781345,1.0
0,6,9,35.0,centralistic,1000000,3093.1005038095172,1.0
0,6,9,36.0,centralistic,1000000,3093.5048487095137,1.0
0,6,9,37.0,centralistic,1000000,3093.8714176221247,1.0
0,6,9,38.0,centralistic,1000000,3094.2032298525573,1.0
0,6,9,39.0,centralistic,1000000,3094.5030836260917,1.0
0,6,9,40.0,centralistic,1000000,3094.7735757252563,1.0
